2024-03-14 20:20:38 {'message': 'received a viewing request', 'requested streamid': '71812f11850ad1c5e79cec7f648139df'}
2024-03-14 20:25:15 {'message': 'received broadcasted data', 'length of data': 205236, 'streamid': '71812f11850ad1c5e79cec7f648139df'}
2024-03-14 20:25:15 {'message': 'performance_metrics', 'forwarding_data_duration_seconds': 0.00025115800235653296, 'data_size': 205236}
2024-03-14 20:25:19 {'message': 'received broadcasted data', 'length of data': 221521, 'streamid': '172a97718d8995045ad70075d67b4009'}
2024-03-14 20:25:19 {'message': 'performance_metrics', 'forwarding_data_duration_seconds': 0.00051859300583601, 'data_size': 221521}
2024-03-14 20:25:25 {'message': 'received broadcasted data', 'length of data': 200839, 'streamid': '71812f11850ad1c5e79cec7f648139df'}
2024-03-14 20:25:25 {'message': 'performance_metrics', 'forwarding_data_duration_seconds': 0.0005060519979451783, 'data_size': 200839}
2024-03-14 20:25:29 {'message': 'received broadcasted data', 'length of data': 209307, 'streamid': '172a97718d8995045ad70075d67b4009'}
2024-03-14 20:25:29 {'message': 'performance_metrics', 'forwarding_data_duration_seconds': 0.0013795940030831844, 'data_size': 209307}
2024-03-14 20:25:35 {'message': 'received broadcasted data', 'length of data': 224428, 'streamid': '71812f11850ad1c5e79cec7f648139df'}
2024-03-14 20:25:35 {'message': 'performance_metrics', 'forwarding_data_duration_seconds': 0.000642945000436157, 'data_size': 224428}
2024-03-14 20:25:39 {'message': 'received broadcasted data', 'length of data': 204095, 'streamid': '172a97718d8995045ad70075d67b4009'}
2024-03-14 20:25:39 {'message': 'performance_metrics', 'forwarding_data_duration_seconds': 0.0006252839957596734, 'data_size': 204095}
2024-03-14 20:25:45 {'message': 'received broadcasted data', 'length of data': 202696, 'streamid': '71812f11850ad1c5e79cec7f648139df'}
2024-03-14 20:25:45 {'message': 'performance_metrics', 'forwarding_data_duration_seconds': 0.00031193399627227336, 'data_size': 202696}
2024-03-14 20:25:49 {'message': 'received broadcasted data', 'length of data': 207025, 'streamid': '172a97718d8995045ad70075d67b4009'}
2024-03-14 20:25:49 {'message': 'performance_metrics', 'forwarding_data_duration_seconds': 0.00037097900349181145, 'data_size': 207025}
